Date,Daily_oil_price,
17-02-16,30.68,
18-02-16,30.77,
19-02-16,29.59,
22-02-16,31.37,
23-02-16,31.84,
24-02-16,30.35,
25-02-16,31.4,
26-02-16,31.65,
29-02-16,32.74,
01-03-16,34.39,
02-03-16,34.57,
03-03-16,34.56,
04-03-16,35.91,
07-03-16,37.9,
08-03-16,36.67,
09-03-16,37.62,
10-03-16,37.77,
11-03-16,38.51,
14-03-16,37.2,
15-03-16,36.32,
16-03-16,38.43,
17-03-16,40.17,
18-03-16,39.47,
21-03-16,39.91,
22-03-16,41.45,
23-03-16,38.28,
24-03-16,38.14,
25-03-16,,
28-03-16,37.99,
29-03-16,36.91,
30-03-16,36.91,
31-03-16,36.94,
01-04-16,35.36,
04-04-16,34.3,
05-04-16,34.52,
06-04-16,37.74,
07-04-16,37.3,
08-04-16,39.74,
11-04-16,40.46,
12-04-16,42.12,
13-04-16,41.7,
14-04-16,41.45,
15-04-16,40.4,
18-04-16,39.74,
19-04-16,40.88,
20-04-16,42.72,
21-04-16,43.18,
22-04-16,42.76,
25-04-16,41.67,
26-04-16,42.52,
27-04-16,45.29,
28-04-16,46.03,
29-04-16,45.98,
02-05-16,44.75,
03-05-16,43.65,
04-05-16,43.77,
05-05-16,44.33,
06-05-16,44.58,
09-05-16,43.45,
10-05-16,44.68,
11-05-16,46.21,
12-05-16,46.64,
13-05-16,46.22,
16-05-16,47.72,
17-05-16,48.29,
18-05-16,48.12,
19-05-16,48.16,
20-05-16,47.67,
23-05-16,48.12,
24-05-16,48.04,
25-05-16,49.1,
26-05-16,49,
27-05-16,49.36,
30-05-16,,
31-05-16,49.1,
01-06-16,49.07,
02-06-16,49.14,
03-06-16,48.69,
06-06-16,49.71,
07-06-16,50.37,
08-06-16,51.23,
09-06-16,50.52,
10-06-16,49.09,
13-06-16,48.89,
14-06-16,48.49,
15-06-16,47.92,
16-06-16,46.14,
17-06-16,48,
20-06-16,49.4,
21-06-16,48.95,
22-06-16,49.16,
23-06-16,49.34,
24-06-16,46.7,
27-06-16,45.8,
28-06-16,47.93,
29-06-16,49.85,
30-06-16,48.27,
01-07-16,49.02,
04-07-16,,
05-07-16,46.73,
06-07-16,47.37,
07-07-16,45.22,
08-07-16,45.37,
11-07-16,44.73,
12-07-16,46.82,
13-07-16,44.87,
14-07-16,45.64,
15-07-16,45.93,
18-07-16,45.23,
19-07-16,44.64,
20-07-16,44.96,
21-07-16,43.96,
22-07-16,43.41,
25-07-16,42.4,
26-07-16,42.16,
27-07-16,41.9,
28-07-16,41.13,
29-07-16,41.54,
01-08-16,40.05,
02-08-16,39.5,
03-08-16,40.8,
04-08-16,41.92,
05-08-16,41.83,
08-08-16,43.06,
09-08-16,42.78,
10-08-16,41.75,
11-08-16,43.51,
12-08-16,44.47,
15-08-16,45.72,
16-08-16,46.57,
17-08-16,46.81,
18-08-16,48.2,
19-08-16,48.48,
22-08-16,46.8,
23-08-16,47.54,
24-08-16,46.29,
25-08-16,46.97,
26-08-16,47.64,
29-08-16,46.97,
30-08-16,46.32,
31-08-16,44.68,
01-09-16,43.17,
02-09-16,44.39,
05-09-16,,
06-09-16,44.85,
07-09-16,45.47,
08-09-16,47.63,
09-09-16,45.88,
12-09-16,46.28,
13-09-16,44.91,
14-09-16,43.62,
15-09-16,43.85,
16-09-16,43.04,
19-09-16,43.34,
20-09-16,43.85,
21-09-16,45.33,
22-09-16,46.1,
23-09-16,44.36,
26-09-16,45.6,
27-09-16,44.65,
28-09-16,47.07,
29-09-16,47.72,
30-09-16,47.72,
03-10-16,48.8,
04-10-16,48.67,
05-10-16,49.75,
06-10-16,50.44,
07-10-16,49.76,
10-10-16,49.76,
11-10-16,50.72,
12-10-16,50.14,
13-10-16,50.47,
14-10-16,50.35,
17-10-16,49.97,
18-10-16,50.3,
19-10-16,51.59,
20-10-16,50.31,
21-10-16,50.61,
24-10-16,50.18,
25-10-16,49.45,
26-10-16,48.75,
27-10-16,49.71,
28-10-16,48.72,
31-10-16,46.83,
01-11-16,46.66,
02-11-16,45.32,
03-11-16,44.66,
04-11-16,44.07,
07-11-16,44.88,
08-11-16,44.96,
09-11-16,45.2,
10-11-16,44.62,
11-11-16,43.39,
14-11-16,43.29,
15-11-16,45.86,
16-11-16,45.56,
17-11-16,45.37,
18-11-16,45.69,
21-11-16,47.48,
22-11-16,48.07,
23-11-16,46.72,
24-11-16,,
25-11-16,46.72,
28-11-16,45.66,
29-11-16,45.29,
30-11-16,49.41,
01-12-16,51.08,
02-12-16,51.7,
05-12-16,51.72,
06-12-16,50.95,
07-12-16,49.85,
08-12-16,50.84,
09-12-16,51.51,
12-12-16,52.74,
13-12-16,52.99,
14-12-16,51.01,
15-12-16,50.9,
16-12-16,51.93,
19-12-16,52.13,
20-12-16,52.22,
21-12-16,51.44,
22-12-16,51.98,
23-12-16,52.01,
26-12-16,,
27-12-16,52.82,
28-12-16,54.01,
29-12-16,53.8,
30-12-16,53.75,
02-01-17,,
03-01-17,52.36,
04-01-17,53.26,
05-01-17,53.77,
06-01-17,53.98,
09-01-17,51.95,
10-01-17,50.82,
11-01-17,52.19,
12-01-17,53.01,
13-01-17,52.36,
16-01-17,,
17-01-17,52.45,
18-01-17,51.12,
19-01-17,51.39,
20-01-17,52.33,
23-01-17,52.77,
24-01-17,52.38,
25-01-17,52.14,
26-01-17,53.24,
27-01-17,53.18,
30-01-17,52.63,
31-01-17,52.75,
01-02-17,53.9,
02-02-17,53.55,
03-02-17,53.81,
06-02-17,53.01,
07-02-17,52.19,
08-02-17,52.37,
09-02-17,52.99,
10-02-17,53.84,
13-02-17,52.96,
14-02-17,53.21,
15-02-17,53.11,
16-02-17,53.41,
17-02-17,53.41,
20-02-17,,
21-02-17,54.02,
22-02-17,53.61,
23-02-17,54.48,
24-02-17,53.99,
27-02-17,54.04,
28-02-17,54,
01-03-17,53.82,
02-03-17,52.63,
03-03-17,53.33,
06-03-17,53.19,
07-03-17,52.68,
08-03-17,49.83,
09-03-17,48.75,
10-03-17,48.05,
13-03-17,47.95,
14-03-17,47.24,
15-03-17,48.34,
16-03-17,48.3,
17-03-17,48.34,
20-03-17,47.79,
21-03-17,47.02,
22-03-17,47.29,
23-03-17,47,
24-03-17,47.3,
27-03-17,47.02,
28-03-17,48.36,
29-03-17,49.47,
30-03-17,50.3,
31-03-17,50.54,
03-04-17,50.25,
04-04-17,50.99,
05-04-17,51.14,
06-04-17,51.69,
07-04-17,52.25,
10-04-17,53.06,
11-04-17,53.38,
12-04-17,53.12,
13-04-17,53.19,
14-04-17,,
17-04-17,52.62,
18-04-17,52.46,
19-04-17,50.49,
20-04-17,50.26,
21-04-17,49.64,
24-04-17,48.9,
25-04-17,49.22,
26-04-17,49.22,
27-04-17,48.96,
28-04-17,49.31,
01-05-17,48.83,
02-05-17,47.65,
03-05-17,47.79,
04-05-17,45.55,
05-05-17,46.23,
08-05-17,46.46,
09-05-17,45.84,
10-05-17,47.28,
11-05-17,47.81,
12-05-17,47.83,
15-05-17,48.86,
16-05-17,48.64,
17-05-17,49.04,
18-05-17,49.36,
19-05-17,50.32,
22-05-17,50.81,
23-05-17,51.12,
24-05-17,50.99,
25-05-17,48.57,
26-05-17,49.58,
29-05-17,,
30-05-17,49.63,
31-05-17,48.29,
01-06-17,48.32,
02-06-17,47.68,
05-06-17,47.4,
06-06-17,48.13,
07-06-17,45.8,
08-06-17,45.68,
09-06-17,45.82,
12-06-17,46.1,
13-06-17,46.41,
14-06-17,44.79,
15-06-17,44.47,
16-06-17,44.73,
19-06-17,44.24,
20-06-17,43.34,
21-06-17,42.48,
22-06-17,42.53,
23-06-17,42.86,
26-06-17,43.24,
27-06-17,44.25,
28-06-17,44.74,
29-06-17,44.88,
30-06-17,46.02,
03-07-17,,
04-07-17,,
05-07-17,45.11,
06-07-17,45.52,
07-07-17,44.25,
10-07-17,44.4,
11-07-17,45.06,
12-07-17,45.48,
13-07-17,46.06,
14-07-17,46.53,
17-07-17,46.02,
18-07-17,46.4,
19-07-17,47.1,
20-07-17,46.73,
21-07-17,45.78,
24-07-17,46.21,
25-07-17,47.77,
26-07-17,48.58,
27-07-17,49.05,
28-07-17,49.72,
31-07-17,50.21,
01-08-17,49.19,
02-08-17,49.6,
03-08-17,49.03,
04-08-17,49.57,
07-08-17,49.37,
08-08-17,49.07,
09-08-17,49.59,
10-08-17,48.54,
11-08-17,48.81,
14-08-17,47.59,
15-08-17,47.57,
16-08-17,46.8,
17-08-17,47.07,
18-08-17,48.59,
21-08-17,47.39,
22-08-17,47.65,
23-08-17,48.45,
24-08-17,47.24,
25-08-17,47.65,
28-08-17,46.4,
29-08-17,46.46,
30-08-17,45.96,
31-08-17,47.26,
